bat_pos,batsman_name,Country,outornot_detail,runs,Bowls,Fours,Sixes,Strike_rate,url
1,Matthew Short,Australia Innings,c and b Livingstone,63,66,9,1,95.45,https://www.cricbuzz.com/live-cricket-scorecard/112413/aus-vs-eng-4th-match-group-b-icc-champions-trophy-2025
2,Travis Head,Australia Innings,c and b Jofra Archer,6,5,1,0,120.0,https://www.cricbuzz.com/live-cricket-scorecard/112413/aus-vs-eng-4th-match-group-b-icc-champions-trophy-2025
3,Steven Smith (c),Australia Innings,c Duckett b Mark Wood,5,6,1,0,83.33,https://www.cricbuzz.com/live-cricket-scorecard/112413/aus-vs-eng-4th-match-group-b-icc-champions-trophy-2025
4,Marnus Labuschagne,Australia Innings,c Jos Buttler b Adil Rashid,47,45,5,0,104.44,https://www.cricbuzz.com/live-cricket-scorecard/112413/aus-vs-eng-4th-match-group-b-icc-champions-trophy-2025
5,Josh Inglis (wk),Australia Innings,not out,120,86,8,6,139.53,https://www.cricbuzz.com/live-cricket-scorecard/112413/aus-vs-eng-4th-match-group-b-icc-champions-trophy-2025
6,Alex Carey,Australia Innings,c Jos Buttler b Brydon Carse,69,63,8,0,109.52,https://www.cricbuzz.com/live-cricket-scorecard/112413/aus-vs-eng-4th-match-group-b-icc-champions-trophy-2025
7,Glenn Maxwell,Australia Innings,not out,32,15,4,2,213.33,https://www.cricbuzz.com/live-cricket-scorecard/112413/aus-vs-eng-4th-match-group-b-icc-champions-trophy-2025
7,Glenn Maxwell,Australia Innings,not out,32,15,4,2,213.33,https://www.cricbuzz.com/live-cricket-scorecard/112413/aus-vs-eng-4th-match-group-b-icc-champions-trophy-2025
7,Glenn Maxwell,Australia Innings,not out,32,15,4,2,213.33,https://www.cricbuzz.com/live-cricket-scorecard/112413/aus-vs-eng-4th-match-group-b-icc-champions-trophy-2025
7,Glenn Maxwell,Australia Innings,not out,32,15,4,2,213.33,https://www.cricbuzz.com/live-cricket-scorecard/112413/aus-vs-eng-4th-match-group-b-icc-champions-trophy-2025
1,Rohit Sharma (c),India Innings,b Shaheen Afridi,20,15,3,1,133.33,https://www.cricbuzz.com/live-cricket-scorecard/112420/pak-vs-ind-5th-match-group-a-icc-champions-trophy-2025
2,Shubman Gill,India Innings,b Abrar Ahmed,46,52,7,0,88.46,https://www.cricbuzz.com/live-cricket-scorecard/112420/pak-vs-ind-5th-match-group-a-icc-champions-trophy-2025
3,Virat Kohli,India Innings,not out,100,111,7,0,90.09,https://www.cricbuzz.com/live-cricket-scorecard/112420/pak-vs-ind-5th-match-group-a-icc-champions-trophy-2025
4,Shreyas Iyer,India Innings,c Imam-ul-Haq b Khushdil,56,67,5,1,83.58,https://www.cricbuzz.com/live-cricket-scorecard/112420/pak-vs-ind-5th-match-group-a-icc-champions-trophy-2025
5,Hardik Pandya,India Innings,c Rizwan b Shaheen Afridi,8,6,1,0,133.33,https://www.cricbuzz.com/live-cricket-scorecard/112420/pak-vs-ind-5th-match-group-a-icc-champions-trophy-2025
6,Axar Patel,India Innings,not out,3,4,0,0,75.0,https://www.cricbuzz.com/live-cricket-scorecard/112420/pak-vs-ind-5th-match-group-a-icc-champions-trophy-2025
6,Axar Patel,India Innings,not out,3,4,0,0,75.0,https://www.cricbuzz.com/live-cricket-scorecard/112420/pak-vs-ind-5th-match-group-a-icc-champions-trophy-2025
6,Axar Patel,India Innings,not out,3,4,0,0,75.0,https://www.cricbuzz.com/live-cricket-scorecard/112420/pak-vs-ind-5th-match-group-a-icc-champions-trophy-2025
6,Axar Patel,India Innings,not out,3,4,0,0,75.0,https://www.cricbuzz.com/live-cricket-scorecard/112420/pak-vs-ind-5th-match-group-a-icc-champions-trophy-2025
1,Will Young,New Zealand Innings,b Taskin Ahmed,0,6,0,0,0.0,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
2,Devon Conway,New Zealand Innings,b Mustafizur,30,45,6,0,66.67,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
3,Kane Williamson,New Zealand Innings,c Mushfiqur Rahim b Nahid Rana,5,4,1,0,125.0,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
4,Rachin Ravindra,New Zealand Innings,c (sub)Parvez Hossain Emon b Rishad Hossain,112,105,12,1,106.67,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
5,Tom Latham (wk),New Zealand Innings,run out (Mahmudullah),55,76,3,0,72.37,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
6,Glenn Phillips,New Zealand Innings,not out,21,28,2,1,75.0,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
7,Michael Bracewell,New Zealand Innings,not out,11,13,1,0,84.62,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
7,Michael Bracewell,New Zealand Innings,not out,11,13,1,0,84.62,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
7,Michael Bracewell,New Zealand Innings,not out,11,13,1,0,84.62,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
7,Michael Bracewell,New Zealand Innings,not out,11,13,1,0,84.62,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
1,Philip Salt,England Innings,b Azmatullah,12,13,2,0,92.31,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
2,Ben Duckett,England Innings,lbw b Rashid Khan,38,45,4,0,84.44,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
3,Jamie Smith (wk),England Innings,c Azmatullah b Nabi,9,13,2,0,69.23,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
4,Joe Root,England Innings,c Gurbaz b Azmatullah,120,111,11,1,108.11,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
5,Harry Brook,England Innings,c and b Nabi,25,21,3,0,119.05,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
6,Jos Buttler (c),England Innings,c Rahmat b Azmatullah,38,42,0,2,90.48,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
7,Liam Livingstone,England Innings,c Gurbaz b Gulbadin,10,8,2,0,125.0,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
8,Jamie Overton,England Innings,c Nabi b Azmatullah,32,28,3,0,114.29,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
9,Jofra Archer,England Innings,c Nabi b Fazalhaq Farooqi,14,8,2,0,175.0,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
10,Adil Rashid,England Innings,c Ibrahim Zadran b Azmatullah,5,7,0,0,71.43,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
11,Mark Wood,England Innings,not out,2,3,0,0,66.67,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
11,Mark Wood,England Innings,not out,2,3,0,0,66.67,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
11,Mark Wood,England Innings,not out,2,3,0,0,66.67,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
1,Matthew Short,Australia Innings,c Gulbadin b Azmatullah,20,15,3,1,133.33,https://www.cricbuzz.com/live-cricket-scorecard/112444/afg-vs-aus-10th-match-group-b-icc-champions-trophy-2025
2,Travis Head,Australia Innings,not out,59,40,9,1,147.5,https://www.cricbuzz.com/live-cricket-scorecard/112444/afg-vs-aus-10th-match-group-b-icc-champions-trophy-2025
3,Steven Smith (c),Australia Innings,not out,19,22,2,0,86.36,https://www.cricbuzz.com/live-cricket-scorecard/112444/afg-vs-aus-10th-match-group-b-icc-champions-trophy-2025
3,Steven Smith (c),Australia Innings,not out,19,22,2,0,86.36,https://www.cricbuzz.com/live-cricket-scorecard/112444/afg-vs-aus-10th-match-group-b-icc-champions-trophy-2025
3,Steven Smith (c),Australia Innings,not out,19,22,2,0,86.36,https://www.cricbuzz.com/live-cricket-scorecard/112444/afg-vs-aus-10th-match-group-b-icc-champions-trophy-2025
3,Steven Smith (c),Australia Innings,not out,19,22,2,0,86.36,https://www.cricbuzz.com/live-cricket-scorecard/112444/afg-vs-aus-10th-match-group-b-icc-champions-trophy-2025
1,Ryan Rickelton,South Africa Innings,b Jofra Archer,27,25,5,0,108.0,https://www.cricbuzz.com/live-cricket-scorecard/112451/rsa-vs-eng-11th-match-group-b-icc-champions-trophy-2025
2,Tristan Stubbs,South Africa Innings,b Jofra Archer,0,5,0,0,0.0,https://www.cricbuzz.com/live-cricket-scorecard/112451/rsa-vs-eng-11th-match-group-b-icc-champions-trophy-2025
3,Rassie van der Dussen,South Africa Innings,not out,72,87,6,3,82.76,https://www.cricbuzz.com/live-cricket-scorecard/112451/rsa-vs-eng-11th-match-group-b-icc-champions-trophy-2025
4,Heinrich Klaasen (wk),South Africa Innings,c Saqib Mahmood b Adil Rashid,64,56,11,0,114.29,https://www.cricbuzz.com/live-cricket-scorecard/112451/rsa-vs-eng-11th-match-group-b-icc-champions-trophy-2025
5,David Miller,South Africa Innings,not out,7,2,0,1,350.0,https://www.cricbuzz.com/live-cricket-scorecard/112451/rsa-vs-eng-11th-match-group-b-icc-champions-trophy-2025
5,David Miller,South Africa Innings,not out,7,2,0,1,350.0,https://www.cricbuzz.com/live-cricket-scorecard/112451/rsa-vs-eng-11th-match-group-b-icc-champions-trophy-2025
5,David Miller,South Africa Innings,not out,7,2,0,1,350.0,https://www.cricbuzz.com/live-cricket-scorecard/112451/rsa-vs-eng-11th-match-group-b-icc-champions-trophy-2025
5,David Miller,South Africa Innings,not out,7,2,0,1,350.0,https://www.cricbuzz.com/live-cricket-scorecard/112451/rsa-vs-eng-11th-match-group-b-icc-champions-trophy-2025
1,Will Young,New Zealand Innings,b Varun Chakravarthy,22,35,3,0,62.86,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
2,Rachin Ravindra,New Zealand Innings,c Axar b Hardik Pandya,6,12,0,0,50.0,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
3,Kane Williamson,New Zealand Innings,st Rahul b Axar,81,120,7,0,67.5,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
4,Daryl Mitchell,New Zealand Innings,lbw b Kuldeep Yadav,17,35,1,0,48.57,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
5,Tom Latham (wk),New Zealand Innings,lbw b Ravindra Jadeja,14,20,0,0,70.0,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
6,Glenn Phillips,New Zealand Innings,lbw b Varun Chakravarthy,12,8,0,1,150.0,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
7,Michael Bracewell,New Zealand Innings,lbw b Varun Chakravarthy,2,3,0,0,66.67,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
8,Mitchell Santner (c),New Zealand Innings,b Varun Chakravarthy,28,31,1,2,90.32,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
9,Matt Henry,New Zealand Innings,c Kohli b Varun Chakravarthy,2,4,0,0,50.0,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
10,Kyle Jamieson,New Zealand Innings,not out,9,4,0,1,225.0,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
11,William ORourke,New Zealand Innings,b Kuldeep Yadav,1,2,0,0,50.0,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
11,William ORourke,New Zealand Innings,b Kuldeep Yadav,1,2,0,0,50.0,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
11,William ORourke,New Zealand Innings,b Kuldeep Yadav,1,2,0,0,50.0,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
1,Rohit Sharma (c),India Innings,lbw b Cooper Connolly,28,29,3,1,96.55,https://www.cricbuzz.com/live-cricket-scorecard/112462/ind-vs-aus-1st-semi-final-a1-v-b2-icc-champions-trophy-2025
2,Shubman Gill,India Innings,b Dwarshuis,8,11,1,0,72.73,https://www.cricbuzz.com/live-cricket-scorecard/112462/ind-vs-aus-1st-semi-final-a1-v-b2-icc-champions-trophy-2025
3,Virat Kohli,India Innings,c Dwarshuis b Zampa,84,98,5,0,85.71,https://www.cricbuzz.com/live-cricket-scorecard/112462/ind-vs-aus-1st-semi-final-a1-v-b2-icc-champions-trophy-2025
4,Shreyas Iyer,India Innings,b Zampa,45,62,3,0,72.58,https://www.cricbuzz.com/live-cricket-scorecard/112462/ind-vs-aus-1st-semi-final-a1-v-b2-icc-champions-trophy-2025
5,Axar Patel,India Innings,b Nathan Ellis,27,30,1,1,90.0,https://www.cricbuzz.com/live-cricket-scorecard/112462/ind-vs-aus-1st-semi-final-a1-v-b2-icc-champions-trophy-2025
6,KL Rahul (wk),India Innings,not out,42,34,2,2,123.53,https://www.cricbuzz.com/live-cricket-scorecard/112462/ind-vs-aus-1st-semi-final-a1-v-b2-icc-champions-trophy-2025
7,Hardik Pandya,India Innings,c Maxwell b Nathan Ellis,28,24,1,3,116.67,https://www.cricbuzz.com/live-cricket-scorecard/112462/ind-vs-aus-1st-semi-final-a1-v-b2-icc-champions-trophy-2025
8,Ravindra Jadeja,India Innings,not out,2,1,0,0,200.0,https://www.cricbuzz.com/live-cricket-scorecard/112462/ind-vs-aus-1st-semi-final-a1-v-b2-icc-champions-trophy-2025
8,Ravindra Jadeja,India Innings,not out,2,1,0,0,200.0,https://www.cricbuzz.com/live-cricket-scorecard/112462/ind-vs-aus-1st-semi-final-a1-v-b2-icc-champions-trophy-2025
8,Ravindra Jadeja,India Innings,not out,2,1,0,0,200.0,https://www.cricbuzz.com/live-cricket-scorecard/112462/ind-vs-aus-1st-semi-final-a1-v-b2-icc-champions-trophy-2025
8,Ravindra Jadeja,India Innings,not out,2,1,0,0,200.0,https://www.cricbuzz.com/live-cricket-scorecard/112462/ind-vs-aus-1st-semi-final-a1-v-b2-icc-champions-trophy-2025
1,Ryan Rickelton,South Africa Innings,c Michael Bracewell b Matt Henry,17,12,4,0,141.67,https://www.cricbuzz.com/live-cricket-scorecard/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
2,Temba Bavuma (c),South Africa Innings,c Williamson b Santner,56,71,4,1,78.87,https://www.cricbuzz.com/live-cricket-scorecard/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
3,Rassie van der Dussen,South Africa Innings,b Santner,69,66,4,2,104.55,https://www.cricbuzz.com/live-cricket-scorecard/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
4,Aiden Markram,South Africa Innings,c and b Rachin Ravindra,31,29,3,0,106.9,https://www.cricbuzz.com/live-cricket-scorecard/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
5,Heinrich Klaasen (wk),South Africa Innings,c Matt Henry b Santner,3,7,0,0,42.86,https://www.cricbuzz.com/live-cricket-scorecard/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
6,David Miller,South Africa Innings,not out,100,67,10,4,149.25,https://www.cricbuzz.com/live-cricket-scorecard/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
7,Wiaan Mulder,South Africa Innings,c Rachin Ravindra b Michael Bracewell,8,13,1,0,61.54,https://www.cricbuzz.com/live-cricket-scorecard/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
8,Marco Jansen,South Africa Innings,lbw b Glenn Phillips,3,7,0,0,42.86,https://www.cricbuzz.com/live-cricket-scorecard/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
9,Keshav Maharaj,South Africa Innings,c Latham b Glenn Phillips,1,4,0,0,25.0,https://www.cricbuzz.com/live-cricket-scorecard/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
10,Kagiso Rabada,South Africa Innings,c Glenn Phillips b Matt Henry,16,22,2,0,72.73,https://www.cricbuzz.com/live-cricket-scorecard/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
11,Lungi Ngidi,South Africa Innings,not out,1,2,0,0,50.0,https://www.cricbuzz.com/live-cricket-scorecard/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
11,Lungi Ngidi,South Africa Innings,not out,1,2,0,0,50.0,https://www.cricbuzz.com/live-cricket-scorecard/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
11,Lungi Ngidi,South Africa Innings,not out,1,2,0,0,50.0,https://www.cricbuzz.com/live-cricket-scorecard/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
1,Rohit Sharma (c),India Innings,st Latham b Rachin Ravindra,76,83,7,3,91.57,https://www.cricbuzz.com/live-cricket-scorecard/112469/ind-vs-nz-final-icc-champions-trophy-2025
2,Shubman Gill,India Innings,c Glenn Phillips b Santner,31,50,0,1,62.0,https://www.cricbuzz.com/live-cricket-scorecard/112469/ind-vs-nz-final-icc-champions-trophy-2025
3,Virat Kohli,India Innings,lbw b Michael Bracewell,1,2,0,0,50.0,https://www.cricbuzz.com/live-cricket-scorecard/112469/ind-vs-nz-final-icc-champions-trophy-2025
4,Shreyas Iyer,India Innings,c Rachin Ravindra b Santner,48,62,2,2,77.42,https://www.cricbuzz.com/live-cricket-scorecard/112469/ind-vs-nz-final-icc-champions-trophy-2025
5,Axar Patel,India Innings,c William ORourke b Michael Bracewell,29,40,1,1,72.5,https://www.cricbuzz.com/live-cricket-scorecard/112469/ind-vs-nz-final-icc-champions-trophy-2025
6,KL Rahul (wk),India Innings,not out,34,33,1,1,103.03,https://www.cricbuzz.com/live-cricket-scorecard/112469/ind-vs-nz-final-icc-champions-trophy-2025
7,Hardik Pandya,India Innings,c and b Jamieson,18,18,1,1,100.0,https://www.cricbuzz.com/live-cricket-scorecard/112469/ind-vs-nz-final-icc-champions-trophy-2025
8,Ravindra Jadeja,India Innings,not out,9,6,1,0,150.0,https://www.cricbuzz.com/live-cricket-scorecard/112469/ind-vs-nz-final-icc-champions-trophy-2025
8,Ravindra Jadeja,India Innings,not out,9,6,1,0,150.0,https://www.cricbuzz.com/live-cricket-scorecard/112469/ind-vs-nz-final-icc-champions-trophy-2025
8,Ravindra Jadeja,India Innings,not out,9,6,1,0,150.0,https://www.cricbuzz.com/live-cricket-scorecard/112469/ind-vs-nz-final-icc-champions-trophy-2025
8,Ravindra Jadeja,India Innings,not out,9,6,1,0,150.0,https://www.cricbuzz.com/live-cricket-scorecard/112469/ind-vs-nz-final-icc-champions-trophy-2025
