name,country,Player_summary,birth,birth_place,role,batting_style,bowling_style
Mushfiqur Rahim,Bangladesh,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616471/mushfiqur-rahim.jpg,"May 09, 1987 (37 years)",Bogra,WK-Batsman,Right Handed Bat,"Bangladesh, Duronto Rajshahi, Nagenahira Nagas, Sylhet Royals, Bangladesh Cricket Board XI, Sylhet Super Stars, Karachi Kings, BCB Select XI, Barisal Bulls, Rajshahi Kings, Nangarhar Leopards, Chittagong Vikings, Khulna Tigers, Asia XI, Beximco Dhaka, Sylhet Strikers, Joburg Bangla Tigers, Fortune Barishal"
Jos Buttler,England,https://static.cricbuzz.com/a/img/v1/152x152/i1/c617407/jos-buttler.jpg,"September 08, 1990 (34 years)","Taunton, Somerset",WK-Batsman,Right Handed Bat,"Somerset, England, Khulna Royal Bengals, England Lions, Melbourne Renegades, Lancashire, Mumbai Cricket Association XI, Mumbai Indians, Comilla Victorians, Sydney Thunder, Rajasthan Royals, Team Buttler, Manchester Originals, Paarl Royals, Deccan Gladiators, Gujarat Titans"
Abrar Ahmed,Pakistan,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616450/abrar-ahmed.jpg,"September 11, 1998 (26 years)",--,Bowler,Right Handed Bat,Right-arm legbreak
Alex Carey,Australia,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619880/alex-carey.jpg,"August 27, 1991 (33 years)","Loxton, South Australia",WK-Batsman,Left Handed Bat,"Australia, South Australia, Adelaide Strikers, Prime Ministers XI, Australia A, Sussex, Delhi Capitals, Cummins XI, Finch XI, Los Angeles Knight Riders"
Philip Salt,England,https://static.cricbuzz.com/a/img/v1/152x152/i1/c617408/philip-salt.jpg,"August 28, 1996 (28 years)","Bodelwyddan, North Wales",WK-Batsman,Right Handed Bat,Right-arm offbreak
Travis Head,Australia,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619876/travis-head.jpg,"December 29, 1993 (31 years)","Adelaide, South Australia",Batsman,Left Handed Bat,Right-arm offbreak
Glenn Maxwell,Australia,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619879/glenn-maxwell.jpg,"October 14, 1988 (36 years)","Kew, Melbourne, Victoria",Batting Allrounder,Right Handed Bat,Right-arm offbreak
Axar Patel,India,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616521/axar-patel.jpg,"January 20, 1994 (31 years)","Anand, Gujarat",Bowling Allrounder,Left Handed Bat,Left-arm orthodox
Khushdil Shah,Pakistan,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616448/khushdil-shah.jpg,"February 07, 1995 (30 years)","Bannu, North-West Frontier Province",Batsman,Left Handed Bat,Left-arm orthodox
Tony de Zorzi,South Africa,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619860/tony-de-zorzi.jpg,"August 28, 1997 (27 years)",--,Batsman,Left Handed Bat,Right-arm offbreak
Naseem Shah,Pakistan,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616439/naseem-shah.jpg,"February 15, 2003 (22 years)",Peshawar,Bowler,Right Handed Bat,Right-arm fast
David Miller,South Africa,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619861/david-miller.jpg,"June 10, 1989 (35 years)","Pietermaritzburg, Natal",Batsman,Left Handed Bat,"South Africa, Punjab Kings, Durham, Yorkshire, Uthura Rudras, Chittagong Kings, Dolphins, South Africa A, Saint Lucia Kings, Knights, Glamorgan, World XI, Bloem City Blazers, Winnipeg Hawks, Jamaica Tallawahs, Durban Heat, Hobart Hurricanes, Rajasthan Royals, Dambulla Viiking, Peshawar Zalmi, Gujarat Titans, Welsh Fire, Barbados Royals, Paarl Royals, Morrisville Samp Army, Multan Sultans, Texas Super Kings, Jaffna Kings, Bangla Tigers, Los Angeles Knight Riders, Lucknow Super Giants"
Ben Duckett,England,https://static.cricbuzz.com/a/img/v1/152x152/i1/c617403/ben-duckett.jpg,"October 17, 1994 (30 years)","Farnborough, Kent",Batsman,Left Handed Bat,Right-arm offbreak
Rahmat Shah,Afghanistan,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616543/rahmat-shah.jpg,"July 06, 1993 (31 years)",Paktia,Batsman,Right Handed Bat,Right-arm legbreak
Taskin Ahmed,Bangladesh,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616466/taskin-ahmed.jpg,"April 03, 1995 (29 years)",Dhaka,Bowler,Left Handed Bat,Right-arm fast
Mahmudullah,Bangladesh,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616462/mahmudullah.jpg,"February 04, 1986 (39 years)",Mymensingh,Batting Allrounder,Right Handed Bat,Right-arm offbreak
Nathan Smith,New Zealand,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616429/nathan-smith.jpg,"July 15, 1998 (26 years)","Dunedin, Otago",Bowling Allrounder,Right Handed Bat,Right-arm fast-medium
Kane Williamson,New Zealand,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616418/kane-williamson.jpg,"August 08, 1990 (34 years)",Tauranga,Batsman,Right Handed Bat,Right-arm offbreak
Hashmatullah Shahidi,Afghanistan,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616542/hashmatullah-shahidi.jpg,"November 04, 1994 (30 years)",Logar,Batsman,Left Handed Bat,Right-arm offbreak
Salman Agha,Pakistan,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616441/salman-agha.jpg,"November 23, 1993 (31 years)","Lahore, Punjab",Batting Allrounder,Right Handed Bat,Right-arm offbreak
Imam-ul-Haq,Pakistan,https://static.cricbuzz.com/a/img/v1/152x152/i1/c617489/imam-ul-haq.jpg,"December 12, 1995 (29 years)","Lahore, Punjab",Batsman,Left Handed Bat,"Pakistan U19, Pakistan U23, Pakistan, Peshawar Zalmi, Team White, Pakistan A, Somerset"
Glenn Phillips,New Zealand,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616433/glenn-phillips.jpg,"December 06, 1996 (28 years)","East London, Eastern Cape, South Africa",Batting Allrounder,Right Handed Bat,Right-arm offbreak
Hardik Pandya,India,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616519/hardik-pandya.jpg,"October 11, 1993 (31 years)","Choryasi, Gujarat",Batting Allrounder,Right Handed Bat,Right-arm fast-medium
Mehidy Hasan Miraz,Bangladesh,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616461/mehidy-hasan-miraz.jpg,"October 25, 1997 (27 years)",Khulna,Bowling Allrounder,Right Handed Bat,Right-arm offbreak
Steven Smith,Australia,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619873/steven-smith.jpg,"June 02, 1989 (35 years)","Sydney, New South Wales",Batsman,Right Handed Bat,Right-arm legbreak
