bowler_name,Country,overs,Maideins,Runs,Wicket,No_ball,wide,Economy,url
Haris Rauf,Pakistan Innings,7.0,0,52,0,0,3,7.4,https://www.cricbuzz.com/live-cricket-scorecard/112420/pak-vs-ind-5th-match-group-a-icc-champions-trophy-2025
Abrar Ahmed,Pakistan Innings,10.0,0,28,1,0,0,2.8,https://www.cricbuzz.com/live-cricket-scorecard/112420/pak-vs-ind-5th-match-group-a-icc-champions-trophy-2025
Khushdil Shah,Pakistan Innings,7.3,0,43,1,0,0,5.7,https://www.cricbuzz.com/live-cricket-scorecard/112420/pak-vs-ind-5th-match-group-a-icc-champions-trophy-2025
Salman Agha,Pakistan Innings,2.0,0,10,0,0,0,5.0,https://www.cricbuzz.com/live-cricket-scorecard/112420/pak-vs-ind-5th-match-group-a-icc-champions-trophy-2025
Taskin Ahmed,Bangladesh Innings,7.0,2,28,1,0,0,4.0,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
Nahid Rana,Bangladesh Innings,9.0,0,43,1,0,0,4.8,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
Mehidy Hasan Miraz,Bangladesh Innings,10.0,0,53,0,0,0,5.3,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
Mustafizur Rahman,Bangladesh Innings,10.0,0,42,1,0,2,4.2,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
Rishad Hossain,Bangladesh Innings,9.1,0,58,1,0,0,6.3,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
Najmul Hossain Shanto (c),Bangladesh Innings,1.0,0,12,0,0,0,12.0,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
Fazalhaq Farooqi,Afghanistan Innings,10.0,0,62,1,0,1,6.2,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
Azmatullah Omarzai,Afghanistan Innings,9.5,0,58,5,0,2,5.9,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
Mohammad Nabi,Afghanistan Innings,8.0,0,57,2,0,0,7.1,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
Rashid Khan,Afghanistan Innings,10.0,0,66,1,0,0,6.6,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
Noor Ahmad,Afghanistan Innings,10.0,0,51,0,0,1,5.1,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
Gulbadin Naib,Afghanistan Innings,2.0,0,16,1,0,1,8.0,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
Azmatullah Omarzai,Afghanistan Innings,5.0,0,43,1,0,0,8.6,https://www.cricbuzz.com/live-cricket-scorecard/112444/afg-vs-aus-10th-match-group-b-icc-champions-trophy-2025
Fazalhaq Farooqi,Afghanistan Innings,3.0,0,32,0,0,3,10.7,https://www.cricbuzz.com/live-cricket-scorecard/112444/afg-vs-aus-10th-match-group-b-icc-champions-trophy-2025
Mohammad Nabi,Afghanistan Innings,3.0,0,13,0,0,0,4.3,https://www.cricbuzz.com/live-cricket-scorecard/112444/afg-vs-aus-10th-match-group-b-icc-champions-trophy-2025
Noor Ahmad,Afghanistan Innings,1.5,0,13,0,0,0,7.1,https://www.cricbuzz.com/live-cricket-scorecard/112444/afg-vs-aus-10th-match-group-b-icc-champions-trophy-2025
Jofra Archer,England Innings,9.0,0,55,2,0,9,6.1,https://www.cricbuzz.com/live-cricket-scorecard/112451/rsa-vs-eng-11th-match-group-b-icc-champions-trophy-2025
Saqib Mahmood,England Innings,5.0,0,31,0,0,1,6.2,https://www.cricbuzz.com/live-cricket-scorecard/112451/rsa-vs-eng-11th-match-group-b-icc-champions-trophy-2025
Jamie Overton,England Innings,5.0,0,34,0,0,0,6.8,https://www.cricbuzz.com/live-cricket-scorecard/112451/rsa-vs-eng-11th-match-group-b-icc-champions-trophy-2025
Adil Rashid,England Innings,7.0,0,37,1,0,1,5.3,https://www.cricbuzz.com/live-cricket-scorecard/112451/rsa-vs-eng-11th-match-group-b-icc-champions-trophy-2025
Liam Livingstone,England Innings,3.1,0,24,0,0,0,7.6,https://www.cricbuzz.com/live-cricket-scorecard/112451/rsa-vs-eng-11th-match-group-b-icc-champions-trophy-2025
Mohammed Shami,India Innings,4.0,0,15,0,0,0,3.8,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
Hardik Pandya,India Innings,4.0,0,22,1,1,0,5.5,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
Axar Patel,India Innings,10.0,0,32,1,0,0,3.2,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
Varun Chakravarthy,India Innings,10.0,0,42,5,0,2,4.2,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
Kuldeep Yadav,India Innings,9.3,0,56,2,0,6,5.9,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
